name,entorpy,byte_theory,byte_os,byte_encoded,ratio_theory,ratio_os
R_0_E_0_S_0_B_139.pt,0.6982396506311315,29362176,29364271,30017563,-0.0223207912111145,-0.022247853522398
R_0_E_0_S_0_B_49.pt,0.0467822114233584,29362176,29364264,30810184,-0.0493154185847806,-0.0492408050819867
R_0_E_0_S_0_B_59.pt,0.3268210458352945,29362176,29364264,30523949,-0.039566992582566,-0.0394930722595328
R_0_E_0_S_0_B_64.pt,0.6337013622395238,29362176,29364264,29689758,-0.0111565982030759,-0.0110846980533889
R_0_E_0_S_0_B_74.pt,1.0813725144006123,29362176,29364264,31206675,-0.0628188796361686,-0.0627433059449404
R_0_E_0_S_0_B_79.pt,1.182633028728861,29362176,29364264,30440872,-0.0367376041884634,-0.0366638850542959
R_0_E_0_S_0_B_84.pt,1.1036274553071008,29362176,29364264,30010660,-0.0220856928314849,-0.022013015548423
R_0_E_0_S_0_B_94.pt,1.3316069030268471,29362176,29364200,30750858,-0.0472949280053358,-0.0472227406161243
R_0_E_0_S_0_B_99.pt,1.4222682319422018,29362176,29364200,29840336,-0.0162848965962195,-0.0162148466500023
R_0_E_0_S_10_B_134.pt,0.0486432773454781,29362176,29364278,31697872,-0.0795477828346237,-0.0794705049448176
R_0_E_0_S_10_B_139.pt,1.6196690471031885,29362176,29364278,36841689,-0.2547329257886064,-0.2546431075199601
R_0_E_0_S_12_B_119.pt,0.54521468115708,29362176,29364278,29374923,-0.0004341299500418,-0.0003625152983499
R_0_E_0_S_12_B_124.pt,0.8870264837121951,29362176,29364278,39991813,-0.3620180261844354,-0.3619205280647459
R_0_E_0_S_12_B_130.pt,0.186959978155635,29381632,29383798,29449410,-0.0023068153600181,-0.002232931222846
R_0_E_0_S_12_B_140.pt,0.7780919666986909,29367296,29369270,35451276,-0.2071685455821332,-0.2070874080288682
R_0_E_0_S_14_B_139.pt,1.4831423334991605,29362176,29364278,30703731,-0.045689903909029,-0.0456150496872424
R_0_E_0_S_1_B_104.pt,1.22901450039461,29362176,29364271,30661905,-0.0442654182033375,-0.0441909148706603
R_0_E_0_S_1_B_124.pt,1.6141147855976314,29362176,29364271,30313489,-0.032399267683703,-0.0323256109439938
R_0_E_0_S_1_B_139.pt,0.4956116022826472,29362176,29364271,30364873,-0.0341492742227279,-0.0340754926284395
R_0_E_0_S_1_B_44.pt,0.316419694905471,29362176,29364264,30218010,-0.0291474991499267,-0.0290743197241381
R_0_E_0_S_1_B_49.pt,0.3412445254459451,29362176,29364264,31027692,-0.0567231801893701,-0.0566480399440626
R_0_E_0_S_1_B_59.pt,0.3444345544661008,29362176,29364264,30676926,-0.0447769947295459,-0.0447027039397275
R_0_E_0_S_1_B_64.pt,0.6293263166448803,29362176,29364264,29907532,-0.0185734190817465,-0.0185009915453695
R_0_E_0_S_1_B_74.pt,0.8548339460884252,29362176,29364264,31388189,-0.0690007784164225,-0.0689247651499114
R_0_E_0_S_1_B_79.pt,1.0639796714848615,29362176,29364264,30631971,-0.0432459433524272,-0.043171761430833
R_0_E_0_S_1_B_84.pt,1.1547886698586745,29362176,29364264,30294974,-0.031768694527272,-0.0316953287165651
R_0_E_0_S_1_B_94.pt,1.1536776413863488,29362176,29364200,31015397,-0.0563044441937818,-0.056231635801418
R_0_E_0_S_1_B_99.pt,1.3533838133802218,29362176,29364200,30053728,-0.0235524778545023,-0.0234819269722996
R_0_E_0_S_3_B_119.pt,1.297225857544488,29362176,29364271,32606876,-0.1105061150781195,-0.1104268857891959
R_0_E_0_S_3_B_124.pt,1.6779532008839064,29362176,29364271,31197147,-0.062494380525476,-0.0624185766437041
R_0_E_0_S_3_B_129.pt,2.0769102996598763,29362176,29364271,30113364,-0.0255835262345679,-0.0255103557653448
R_0_E_0_S_3_B_134.pt,0.0196666838965662,29362176,29364271,30122140,-0.0258824141643998,-0.0258092223709555
R_0_E_0_S_3_B_139.pt,1.2218695209697286,29362176,29364271,33027835,-0.1248428931152786,-0.1247626409659548
R_0_E_0_S_4_B_114.pt,0.7899783458458858,29362176,29364271,29407161,-0.0015320730997593,-0.0014606185864447
R_0_E_0_S_4_B_119.pt,0.8166263091361851,29362176,29364271,36323811,-0.2370953365309165,-0.2370070757077538
R_0_E_0_S_4_B_130.pt,0.121401683712448,29381632,29383791,32327737,-0.1002702981236712,-0.100189454791589
R_0_E_0_S_4_B_136.pt,0.8988940080683622,135790592,135792303,161789093,-0.191460252268434,-0.1914452397202513
R_0_E_0_S_4_B_138.pt,0.0215926738265202,135790592,135792303,137981667,-0.0161356907553654,-0.0161228873185838
R_0_E_0_S_4_B_139.pt,0.816046056107362,29362176,29364271,47919014,-0.6319980508256609,-0.6318816155865065
R_0_E_0_S_4_B_140.pt,0.8462256736749794,29367296,29369263,39392729,-0.3413808680240768,-0.3412910293322648
R_0_E_0_S_5_B_124.pt,0.7392065212356455,29362176,29364271,34905473,-0.1887904016378077,-0.1887055871402358
R_0_E_0_S_5_B_134.pt,0.0362699903812476,29362176,29364271,38049471,-0.2958668662704017,-0.2957744123802699
R_0_E_0_S_5_B_136.pt,0.2892349528877336,135790592,135792303,143992342,-0.0603999870624321,-0.0603866258899814
R_0_E_0_S_5_B_137.pt,0.0314534970758581,135790592,135792303,143271970,-0.0550949656365,-0.0550816713079827
R_0_E_0_S_5_B_139.pt,0.9078306883359428,29362176,29364271,43926650,-0.4960284278658367,-0.4959216934076109
R_0_E_0_S_5_B_140.pt,0.8855303239187614,29367296,29369263,36145911,-0.2308218979370793,-0.2307394639082363
R_0_E_0_S_6_B_134.pt,0.9092087345068994,29362176,29364271,29506367,-0.0049107736429343,-0.0048390780755292
R_0_E_0_S_6_B_139.pt,1.1700751651945085,29362176,29364271,31930449,-0.0874687557216468,-0.0873911700379008
R_0_E_0_S_7_B_139.pt,1.4028401674765738,29362176,29364271,30836133,-0.0501991746115819,-0.050124247933824
R_0_E_0_S_8_B_129.pt,0.8847691428469204,29362176,29364271,31596320,-0.0760891835809444,-0.0760124097751311
R_0_E_0_S_8_B_134.pt,1.019234585943934,29362176,29364271,34706960,-0.1820295607519007,-0.1819452286079228
R_0_E_0_S_8_B_139.pt,0.4086877751266368,29362176,29364271,38643011,-0.3160813081428297,-0.3159874120491532
R_0_E_0_S_8_B_140.pt,0.9060300958523732,29367296,29369263,32404361,-0.1034165692340214,-0.1033426681493505
R_1_E_0_S_0_B_104.pt,1.099531686297422,29362176,29364271,30052242,-0.0235018685263653,-0.0234288465734429
R_1_E_0_S_0_B_124.pt,1.6346589661233293,29362176,29364271,29710572,-0.0118654693712073,-0.0117932776195942
R_1_E_0_S_0_B_139.pt,0.6551794349100364,29362176,29364271,29774322,-0.0140366299827369,-0.01396428332922
R_1_E_0_S_0_B_49.pt,0.0667258210295421,29362176,29364264,30502148,-0.0388245067395549,-0.0387506392123432
R_1_E_0_S_0_B_59.pt,0.196018113615068,29362176,29364264,30104754,-0.0252902918366813,-0.025217386684713
R_1_E_0_S_0_B_79.pt,0.8305877402328586,29362176,29364264,30029093,-0.0227134732793645,-0.0226407513568192
R_1_E_0_S_0_B_84.pt,1.3398259346818429,29362176,29364264,29701532,-0.0115575902821371,-0.0114856616191708
R_1_E_0_S_0_B_94.pt,0.9768161578674376,29362176,29364200,30369072,-0.0342922813350073,-0.0342209901853277
R_1_E_0_S_0_B_99.pt,1.2270340075861437,29362176,29364200,29426673,-0.0021966015052835,-0.0021275226295965
R_1_E_0_S_10_B_134.pt,0.2145732292504827,29362176,29364278,31802659,-0.0831165578463939,-0.0830390244909137
R_1_E_0_S_10_B_139.pt,1.717288363785743,29362176,29364278,36949751,-0.2584132388553219,-0.2583231571367088
R_1_E_0_S_12_B_129.pt,1.0862200315825763,29362176,29364278,41832995,-0.4247239373539618,-0.4246219505209697
R_1_E_0_S_12_B_134.pt,0.3639932975340344,29362176,29364278,41330508,-0.4076105258683825,-0.407509764074567
R_1_E_0_S_12_B_137.pt,0.4411276412417549,135790592,135792310,142461557,-0.0491268570358688,-0.0491135838251812
R_1_E_0_S_12_B_139.pt,0.5388393187609233,29362176,29364278,44162464,-0.5040596446257934,-0.5039519786592404
R_1_E_0_S_12_B_140.pt,0.9862481541148858,29367296,29369270,34925977,-0.189281335264915,-0.1892013999666998
R_1_E_0_S_14_B_139.pt,1.341671746390628,29362176,29364278,30583089,-0.0415811484816384,-0.0415065883792545
R_1_E_0_S_1_B_104.pt,1.1145415251469506,29362176,29364271,30340371,-0.0333147992846306,-0.0332410772261296
R_1_E_0_S_1_B_124.pt,1.63594961442187,29362176,29364271,30014597,-0.0222197768993687,-0.0221468464175391
R_1_E_0_S_1_B_139.pt,0.9431048476783714,29362176,29364271,30104431,-0.0252792912895828,-0.025206142526065
R_1_E_0_S_1_B_44.pt,0.3156318840400313,29362176,29364264,30072555,-0.0241936769263967,-0.0241208497512486
R_1_E_0_S_1_B_59.pt,0.2042242919536302,29362176,29364264,30504258,-0.0388963678986189,-0.0388224952615873
R_1_E_0_S_1_B_64.pt,0.346325907976873,29362176,29364264,29745605,-0.0130586030136186,-0.0129865676183813
R_1_E_0_S_1_B_74.pt,0.7041050887584522,29362176,29364264,31162925,-0.0613288674517855,-0.0612533997106142
R_1_E_0_S_1_B_79.pt,0.7829795296673014,29362176,29364264,30395586,-0.0351952798048754,-0.03512167034052
R_1_E_0_S_1_B_84.pt,1.1081061249728732,29362176,29364264,30055759,-0.023621648477279,-0.0235488619772659
R_1_E_0_S_1_B_99.pt,1.1385782147553507,29362176,29364200,29806095,-0.0151187364315233,-0.0150487668657753
R_1_E_0_S_3_B_119.pt,1.51673242713876,29362176,29364271,32204297,-0.0967953124455081,-0.0967170613566398
R_1_E_0_S_3_B_124.pt,1.6938938425522432,29362176,29364271,30827710,-0.0499123089514891,-0.0498374027402212
R_1_E_0_S_3_B_129.pt,1.4588904245418757,29362176,29364271,29512073,-0.0051051052891992,-0.0050333958571626
R_1_E_0_S_3_B_134.pt,0.0174498692872415,29362176,29364271,29516078,-0.0052415052617353,-0.0051697860982143
R_1_E_0_S_3_B_139.pt,0.641762203784432,29362176,29364271,32245575,-0.0982011346842958,-0.0981227832967486
R_1_E_0_S_4_B_114.pt,0.6375770803034734,29362176,29364271,32164519,-0.0954405763387563,-0.0953624219038163
R_1_E_0_S_4_B_119.pt,0.6136672175775955,29362176,29364271,39481554,-0.3446399204200669,-0.3445439868062789
R_1_E_0_S_4_B_120.pt,0.1342516361403104,29381632,29383791,31458847,-0.0706977406837033,-0.070619070221402
R_1_E_0_S_4_B_125.pt,0.5318710656265756,29381632,29383791,34018672,-0.1578210495591259,-0.1577359776347442
R_1_E_0_S_4_B_126.pt,0.1659430474212584,135790592,135792303,153425336,-0.1298672002254766,-0.1298529637574524
R_1_E_0_S_4_B_129.pt,0.3805178846634811,29362176,29364271,45910810,-0.563603801026191,-0.5634922453889627
R_1_E_0_S_4_B_130.pt,0.0794507545415837,29381632,29383791,38266371,-0.3023909291355905,-0.3022952348116007
R_1_E_0_S_4_B_135.pt,0.1846198330801106,29381632,29383791,35201443,-0.1980765057570661,-0.1979884760274806
R_1_E_0_S_4_B_137.pt,0.4392751259829078,135790592,135792303,188222959,-0.3861266544886997,-0.3861091891195041
R_1_E_0_S_4_B_139.pt,0.8130529062888512,29362176,29364271,54480619,-0.8554693970910058,-0.8553370182423394
R_1_E_0_S_5_B_124.pt,1.1467199697025463,29362176,29364271,34014877,-0.1584589984066576,-0.1583763479093351
R_1_E_0_S_5_B_134.pt,0.0409399784164719,29362176,29364271,36331977,-0.2373734494337204,-0.237285168768535
R_1_E_0_S_5_B_139.pt,0.978754332952254,29362176,29364271,41832867,-0.424719578004028,-0.4246179310904738
R_1_E_0_S_5_B_140.pt,0.9065368594569028,29367296,29369263,33577952,-0.1433790839987447,-0.1433025064333415
R_1_E_0_S_6_B_129.pt,0.8752041030215107,29362176,29364271,30233398,-0.0296715747497733,-0.0295981126178817
R_1_E_0_S_6_B_134.pt,0.2752418460692293,29362176,29364271,34722650,-0.1825639216929971,-0.1824795514249272
R_1_E_0_S_6_B_140.pt,0.6962032416109154,29367296,29369263,31767849,-0.0817423912640782,-0.0816699418027616
R_1_E_0_S_7_B_139.pt,1.6223997592320756,29362176,29364271,30669314,-0.0445177496381739,-0.0444432283028582
R_1_E_0_S_8_B_129.pt,1.2217452780567877,29362176,29364271,31716998,-0.0801991650755039,-0.0801220980422091
R_1_E_0_S_8_B_134.pt,0.4008794193008514,29362176,29364271,34511225,-0.1753633313825242,-0.1752794748420623
R_1_E_0_S_8_B_140.pt,0.6124346082329285,29367296,29369263,32973259,-0.1227883901875065,-0.1227131916793417
